"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"08.09.2021","98,0150","97,9080","98,0400","97,9080","0,24%"
"07.09.2021","97,7850","97,8625","98,0250","97,8625","-0,16%"
"06.09.2021","97,9400","97,9400","97,9850","97,9100","0,07%"
"03.09.2021","97,8700","97,8800","97,8850","97,8550","0,04%"
"02.09.2021","97,8300","97,7230","97,8550","97,7130","0,24%"
"01.09.2021","97,5960","97,6575","97,8300","97,6560","-0,15%"
"31.08.2021","97,7400","97,6295","97,7650","97,6285","0,24%"
"30.08.2021","97,5070","97,4970","97,7650","97,4970","0,15%"
"27.08.2021","97,3640","97,4455","97,5900","97,4455","0,04%"
"26.08.2021","97,3250","97,4400","97,5650","97,3625","0,04%"
"25.08.2021","97,2870","97,3510","97,5300","97,3510","-0,06%"
"24.08.2021","97,3500","97,3170","97,4595","97,2660","-0,05%"
"23.08.2021","97,4000","97,4300","97,4300","97,4050","0,19%"
"20.08.2021","97,2200","97,2800","97,3290","97,1635","-0,06%"
"19.08.2021","97,2800","97,1585","97,2950","97,1585","0,02%"
"18.08.2021","97,2600","97,1900","97,3050","97,1600","0,22%"
"17.08.2021","97,0460","97,0240","97,2800","97,0240","0,03%"
"16.08.2021","97,0200","96,9900","97,0890","96,9530","-0,08%"
"13.08.2021","97,1000","97,0350","97,1100","96,9380","0,23%"
"12.08.2021","96,8760","97,0050","97,1015","96,9135","0,03%"
"11.08.2021","96,8470","96,9425","97,0695","96,9380","-0,18%"
"10.08.2021","97,0200","96,9075","97,0500","96,8920","0,03%"
"09.08.2021","96,9900","96,8015","97,1850","96,8000","0,09%"
"06.08.2021","96,9000","96,8110","96,9500","96,8000","0,22%"
"05.08.2021","96,6900","96,8350","96,9013","96,7380","-0,14%"
"04.08.2021","96,8300","96,8800","96,9100","96,8200","0,03%"
"03.08.2021","96,8000","96,7999","96,8700","96,7900","0,01%"
"02.08.2021","96,7900","96,5750","96,8250","96,5700","0,11%"
"30.07.2021","96,6800","96,6450","96,7200","96,5550","0,24%"
